Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation,Type,magnitude,death,missing,injuries,damages
2017,12,27,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,
2018,1,5,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,,,,,
2018,1,13,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,,,1972,3.564
2018,1,23,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,,1,,11,
2018,2,1,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,1,1,,3,
2018,2,9,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,,,,,
2018,3,21,Ijen,Java,Indonesia,-8.058,114.242,2799,Stratovolcano,,,,30,
2018,3,30,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,3,4,,,
2018,4,28,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,1,,,1,370
2018,6,3,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,201,229,27,120
2018,7,16,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,,23,1
2018,8,25,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,,,,
2018,12,15,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2,,,,
2018,12,22,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,1,437,10,31943,250
2018,12,26,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,,,28,115
2019,1,7,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,,,,
2019,5,7,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,
2019,6,26,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,,,,2,14
2019,6,28,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,,,,
2019,7,3,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,2,1,,1,
2019,8,28,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,2,,,,
2019,12,9,White Island,New Zealand,New Zealand,-37.52,177.18,321,Stratovolcano,2,21,,24,
2020,1,12,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,,,,,67
