Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation,Type,magnitude,death,missing,injuries,damages
1979,7,5,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,9,,23,
1979,7,18,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,,1239,,32,
1979,9,6,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,3,,11,
1980,5,18,St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,5,61,,,2000
1980,8,17,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,,,
1980,12,25,Hood,US-Oregon,United States,45.374,-121.694,3426,Stratovolcano,,1,,,
1981,3,17,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,,,,
1981,3,29,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,1,,,
1981,4,27,Alaid,Kuril Is,Russia,50.858,155.55,2339,Stratovolcano,2,,,,
1981,5,14,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,372,120,152,
1981,6,30,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,200,,,
1981,9,5,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,,,,
1981,,,Vilyuchik,Kamchatka,Russia,52.68,158.3,2173,Stratovolcano,,,,,
1982,3,29,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,1879,1755,,3.3
1982,4,4,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,33,,,
1982,5,17,Galunggung,Java,Indonesia,-7.25,108.05,2168,Stratovolcano,4,68,,,15
1982,5,27,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,1,,,
1983,3,8,Kliuchevskoi,Kamchatka,Russia,56.057,160.638,4835,Stratovolcano,2,1,,,
1983,7,23,Colo [Una Una],Sulawesi-Indonesia,Indonesia,-0.17,121.608,507,Stratovolcano,4,,,,
1983,8,17,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,1,,,,
1983,10,3,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,3,,,,
1984,8,15,Oku Volc Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,,37,,,
1984,9,9,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,1,,,
1984,9,14,On-take,Honshu-Japan,Japan,35.9,137.48,3063,Complex volcano,,29,,,
1984,10,16,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,1,,,
