ID,Year,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,magnitude,damages,death,missing,injuries
2353,2000,11,4,19,30,0, S. CALIFORNIA,34.5,88,0,0,0,0
2352,2000,11,16,4,54,56.7,-3.98,152.169,3,0,0,0,0
3535,2000,11,21,18,4,50,70.25,-52.75,50,0,0,0,0
5444,2001,1,13,17,33,32.3,13.049,-88.66,0.25,0,0,0,0
2373,2001,6,23,20,33,14.1,-16.265,-73.641,8.8,0,26,0,70
5609,2001,10,12,5,2,34,52.63,-132.2,0.11,0,0,0,0
2404,2001,12,18,4,2,58.2,23.954,122.734,0.12,0,0,0,0
2397,2002,1,2,17,22,48.7,-17.6,167.856,3,0,0,0,0
2394,2002,3,5,21,16,9.1, PHILIPPINES,6.033,84,0,0,0,0
2395,2002,3,26,3,45,48.7,23.346,124.09,0.05,0,0,0,0
2396,2002,3,31,6,52,50.4,24.279,122.179,0.2,0,0,0,0
2398,2002,9,8,18,44,23.7,-3.302,142.945,5.5,0,0,0,0
2399,2002,9,13,22,28,29.4, INDIA,13.036,60,0,0,0,0
2400,2002,10,10,10,50,20.5,-1.757,134.297,5,0,0,0,0
5532,2002,11,4,0,0,0,-44.7,169.2,0,0,0,0,0
2923,2002,12,30,13,15,0,38.789,15.213,10.9,0,0,0,0
2401,2003,1,20,8,43,6,-10.491,160.77,2,0,0,0,0
2402,2003,1,22,2,6,34.6,18.77,-104.104,0.61,0,0,0,0
2403,2003,5,21,18,44,20.1,36.964,3.634,3,0,0,0,0
3618,2003,5,27,17,11,28.8,36.939,3.578,0.08,0,0,0,0
2694,2003,7,12,0,0,0,16.722,-62.18,4,0,0,0,0
2953,2003,8,21,12,12,49.7,-45.104,167.144,0.15,0,0,0,0
2406,2003,9,25,19,50,6.3,41.815,143.91,4.4,0,0,0,0
2428,2003,10,31,1,6,28.2,37.812,142.619,0.32,0,0,0,0
2429,2003,11,17,6,43,6.8, ALEUTIAN ISLANDS, AK,178.65,0,0,0,0
3015,2003,12,27,4,55,25.4,-22.107,169.35,0.15,0,0,0,0
2434,2004,1,28,22,15,30.7,-3.12,127.4,0,0,0,0,0
4562,2004,2,11,8,15,3.8,31.675,35.551,1,0,0,0,0
2436,2004,9,5,10,7,7.8,33.07,136.618,0.63,0,0,0,0
2437,2004,9,5,14,57,18.6,33.184,137.071,0.93,0,0,0,0
3012,2004,11,2,10,2,12.8,49.277,-128.772,0.06,0,0,0,0
3013,2004,11,11,21,26,41.1,-8.152,124.868,0,0,0,0,0
2693,2004,11,21,11,41,7.7, LES SAINTES,15.679,74,0,0,0,0
5517,2004,11,22,20,26,23.9,-46.676,164.721,0,0,0,0,0
2921,2004,11,28,18,32,14.1,43.006,145.119,0.12,0,0,0,0
3014,2004,12,23,14,59,4.4,-49.312,161.345,0.3,0,0,0,0
2439,2004,12,26,0,58,53.4,3.316,95.854,50.9,10000,227899,0,0
2466,2005,1,19,6,11,36.4,34.064,141.491,0.39,0,0,0,0
4802,2005,2,14,18,5,59.3,15.775,-61.744,0,0,0,0,0
2487,2005,3,28,16,9,36.5,2.085,97.108,4.2,0,10,0,0
2507,2005,4,10,10,29,11.2,-1.644,99.607,0.4,0,0,0,0
2547,2005,6,15,2,50,53.1,41.301,-125.97,0.1,0,0,0,0
2548,2005,8,16,2,46,28.4,38.276,142.039,0.05,0,0,0,0
2590,2005,11,14,21,38,51.4,38.107,144.896,0.42,0,0,0,0
5611,2005,12,9,1,57,0,0,0,0.08,0,0,0,0
4336,2006,1,16,0,0,0, WA,0,88,0,0,0,0
2875,2006,3,14,6,57,33.8,-3.595,127.214,3.5,0,4,0,0
2749,2006,5,3,15,26,40.2,-20.187,-174.123,0.27,0,0,0,0
2877,2006,5,20,11,20,0,16.722,-62.18,1,0,0,0,0
2832,2006,7,17,8,19,28.7,-9.254,107.411,20.9,55,802,498,0
2972,2006,9,28,6,22,9.7,-16.592,-172.033,0.08,0,0,0,0
3017,2006,10,15,17,7,49.2,19.878,-155.935,0.1,0,0,0,0
3016,2006,11,15,11,14,13.5,46.592,153.266,21.9,0,0,1,0
3622,2006,12,26,12,26,21.4,21.799,120.547,0.07,0,0,0,0
3019,2007,1,13,4,23,21.1,46.243,154.524,0.4,0,0,0,0
3038,2007,3,25,0,40,1.6,-20.617,169.357,0.08,0,0,0,0
3035,2007,3,25,0,41,57.8,37.336,136.588,0.1,0,0,0,0
3037,2007,4,1,20,39,56.3,-8.46,157.044,12.1,0,52,0,0
3044,2007,4,21,17,53,46.3,-45.285,-72.606,7.6,0,10,0,0
4311,2007,5,7,0,0,0,43,29,3,0,0,0,0
3104,2007,7,16,1,13,22,37.57,138.478,0,0,0,0,0
3155,2007,8,2,2,37,42.3,47.116,141.798,0.19,0,0,0,0
3156,2007,8,2,3,21,42.8, AK,51.307,87,0,4,0,0
3168,2007,8,15,23,40,57.8,-13.386,-76.603,10.05,0,3,0,0
3598,2007,9,2,1,5,18.1,-11.61,165.762,0.05,0,0,0,0
3228,2007,9,12,11,10,26.8,-4.438,101.367,5,0,0,0,0
3248,2007,9,30,5,23,34,-49.418,163.954,0.25,0,0,0,0
3293,2007,11,14,15,40,50.5,-22.247,-69.89,0.28,0,0,0,0
5441,2007,11,29,19,0,20.4,14.944,-61.274,0,0,0,0,0
3348,2007,12,3,0,0,0, CHILLIWACK,49.475,88,0,0,0,0
3599,2007,12,9,7,28,20.8,-25.996,-177.514,0.03,0,0,0,0
3382,2008,2,25,8,36,33,-2.486,99.972,0.12,0,0,0,0
3505,2008,4,9,12,46,12.7,-20.071,168.892,0.16,0,0,0,0
3601,2008,4,28,18,33,34.2,-19.941,168.953,0.03,0,0,0,0
3586,2008,5,12,6,28,1.5,31.002,103.322,0,0,0,0,0
3558,2008,7,19,2,39,28.7,37.552,142.214,0.2,0,0,0,0
3587,2008,8,8,0,0,0, ALEUTIAN IS, AK,-175.5,0,0,0,0
3588,2008,8,26,8,7,8.5,-52.533,26.417,0,0,0,0,0
3589,2008,9,11,0,20,50.9,41.892,143.754,0.09,0,0,0,0
3621,2008,10,28,0,0,0,43.8,-69.7,2,0.02,0,0,0
3623,2008,11,16,17,2,32.7,1.271,122.091,0.13,0,0,0,0
3647,2009,1,3,19,43,50.6,-0.414,132.885,0.39,0,0,0,0
3649,2009,1,3,22,33,40.2,-0.691,133.305,0,0,0,0,0
3691,2009,1,15,17,49,39,46.857,155.154,0.11,0,0,0,0
3692,2009,2,11,17,34,50.8,3.884,126.397,0.13,0,0,0,0
4312,2009,3,19,18,17,40.9,-23.046,-174.659,0.15,0,0,0,0
4356,2009,5,28,8,24,45,16.72,-86.236,4,0,0,0,0
4376,2009,7,15,9,22,29,-45.762,166.562,0.47,0,0,0,0
4419,2009,8,10,19,55,35.6,14.099,92.888,0.01,0,0,0,0
4418,2009,8,10,20,7,9.1,34.743,138.264,0.6,0,0,0,0
4482,2009,8,16,7,38,21.7,-1.479,99.49,0.18,0,0,0,0
4443,2009,8,25,0,0,0, WA,0,88,0,0,0,0
4440,2009,9,29,17,48,10.9,-15.489,-172.095,22.35,285,192,7,0
4441,2009,9,30,10,16,9.2,-0.72,99.867,0.27,0,0,0,0
4442,2009,10,7,22,3,14.4,-13.006,166.51,0.31,0,0,0,0
4522,2010,1,3,21,48,5.3,-8.743,157.477,0.01,0,0,0,0
4523,2010,1,3,22,36,27.9,-8.799,157.346,3,0,0,0,0
4542,2010,1,5,12,15,32.2,-9.019,157.551,0.03,0,0,0,0
4622,2010,1,12,21,53,10,18.457,-72.533,3.21,0,7,0,0
4782,2010,2,26,20,31,26.9,25.93,128.425,0.1,0,0,0,0
4682,2010,2,27,6,34,11.5,-36.122,-72.898,29,30000,156,12000,0
4722,2010,3,11,14,39,43.9,-34.29,-71.891,0.14,0,0,0,0
4763,2010,4,6,22,15,1.5,2.383,97.048,0.44,0,0,0,0
4762,2010,4,13,0,0,0, HUALCAN GLACIER,-9.282,89,0,0,1,0
5443,2010,4,13,0,0,0, COOK ISLANDS,-21.955,81,0,0,0,0
4822,2010,5,29,11,46,50, N. MARIANA IS,16.708,81,0,0,0,0
4902,2010,6,12,19,26,50.4,7.881,91.936,0.03,0,0,0,0
5222,2010,8,10,5,23,44.9,-17.541,168.069,0.23,0,0,0,0
5343,2010,8,13,21,19,33, MARIANA ISLANDS,12.484,81,0,0,0,0
5342,2010,10,25,14,42,22,-3.487,100.082,16.9,39,431,0,0
5402,2010,12,21,17,19,40.6,26.901,143.698,0.13,0,0,0,0
5403,2010,12,25,13,16,37,-19.702,167.947,0.15,0,0,0,0
5419,2011,1,9,10,3,44.2,-19.157,168.311,0.03,0,0,0,0
5406,2011,2,11,20,5,30.7,-36.474,-73.125,0.15,0,0,0,0
5407,2011,2,21,23,51,42.3,-43.583,172.68,0,0,0,0,0
5412,2011,3,9,2,45,20.3,38.435,142.842,0.6,0,0,0,0
5413,2011,3,11,5,46,24.1,38.297,142.372,38.9,220085.456,18453,6152,0
5429,2011,4,7,14,32,43.2,38.276,141.588,0.08,0,0,0,0
5432,2011,6,24,3,9,39.4, ALEUTIAN ISLANDS, AK,-171.836,0,0,0,0
5433,2011,6,27,0,0,0, ENGLAND,50.5,73,0,0,0,0
5430,2011,7,6,19,3,18.2,-29.539,-176.34,1.2,0,0,0,0
5431,2011,7,10,0,57,10.8,38.034,143.264,0.09,0,0,0,0
5435,2011,7,30,5,30,0, WESTERN NORWAY,59.05,73,0,0,0,0
5434,2011,8,6,12,55,0, WESTERN NORWAY,59.05,73,0,0,0,0
5437,2011,8,20,16,55,2.5,-18.365,168.143,0.18,0,0,0,0
5436,2011,8,20,18,19,23.5,-18.311,168.218,0.18,0,0,0,0
5438,2011,9,2,10,55,53.5, ALEUTIAN ISLANDS, AK,-171.708,0,0,0,0
5439,2011,10,21,17,57,16.1,-28.993,-176.238,0.14,0,0,0,0
5442,2012,2,2,13,34,40.6,-17.827,167.133,0.08,0,0,0,0
5446,2012,3,14,9,8,35.1,40.887,144.944,0.2,0,0,0,0
5447,2012,3,20,18,2,47.4,16.493,-98.231,0.2,0,0,0,0
5449,2012,4,11,8,38,36.7,2.327,93.063,0,0,0,0,0
5450,2012,4,11,10,43,10.8,0.802,92.463,0,0,0,0,0
5451,2012,4,14,22,5,26.4,-18.972,168.741,0,0,0,0,0
5460,2012,7,15,0,0,0,69.2,-51.3,0,0,0,0,0
5462,2012,8,27,4,37,19.4,12.139,-88.59,0.36,0,0,0,0
5463,2012,8,31,12,47,33.3,10.811,126.638,0.15,0,0,0,0
5464,2012,9,5,14,42,7.8,10.085,-85.315,0.16,0,0,0,0
5467,2012,10,28,3,4,8.8,52.788,-132.101,12.98,0,1,0,0
5468,2012,11,7,16,35,46.9,13.988,-91.895,0.35,0,0,0,0
5469,2012,12,7,8,18,23.1,37.89,143.949,1,0,0,0,0
5471,2012,12,28,0,0,0, HUBEI PROVINCE,31.256,84,0,0,0,0
5472,2013,1,5,8,58,19.3, AK,55.393,87,0,0,0,0
5476,2013,2,6,1,12,25.8,-10.766,165.114,11,0,10,15,0
5477,2013,2,8,15,26,38.4,-10.928,166.018,0,0,0,0,0
5479,2013,4,19,3,5,52.6,46.221,150.788,0.2,0,0,0,0
5483,2013,6,13,0,0,0,0,0,1.8,0,0,2,0
5491,2013,7,21,5,9,31.4,-41.704,174.337,0.07,0,0,0,0
5519,2013,8,16,2,31,7,-41.767,174.061,0,0,0,0,0
5506,2013,9,24,0,0,0,25.18,62.26,0.26,0,0,0,0
5533,2013,10,25,17,10,18,37.149,144.679,0.4,0,0,0,0
5534,2013,11,17,9,4,55,-60.296,-46.362,0.15,0,0,0,0
5555,2014,3,16,21,16,30,-19.925,-70.628,0,0,0,0,0
5557,2014,4,1,23,46,46,-19.642,-70.817,4.4,0,0,0,0
5558,2014,4,3,2,43,17,-20.4,-70.135,0,0,0,0,0
5559,2014,4,12,20,14,39,-11.315,162.211,0,0,0,0,0
5560,2014,4,13,12,36,18,-11.451,162.069,0,0,0,0,0
5563,2014,4,18,14,27,26,17.552,-100.816,0,0,0,0,0
5564,2014,4,19,13,27,59,-6.72,154.931,0,0,0,0,0
5572,2014,6,23,19,19,16, KERMADEC ISLANDS,-30.118,81,0,0,0,0
5571,2014,6,23,20,53,10, AK,51.797,87,0,0,0,0
5574,2014,7,11,19,21,59,37.04,142.425,0.2,0,0,0,0
5575,2014,7,25,10,54,49, AK,58.358,87,0,0,0,0
5577,2014,10,9,2,14,32,-32.115,-110.779,0,0,0,0,0
5607,2014,10,14,3,51,46,12.526,-88.123,0,0,0,0,0
5578,2014,11,15,2,31,40,1.928,126.54,0.09,0,0,0,0
5580,2015,2,16,23,6,27,39.83,142.89,0,0,0,0,0
5582,2015,2,19,13,18,32,-16.431,168.148,0,0,0,0,0
5581,2015,3,29,23,48,31,-4.76,152.556,0.5,0,0,0,0
5584,2015,5,2,16,50,46,31.594,140.167,0.5,0,0,0,0
5583,2015,5,5,1,44,5,-5.465,151.886,0,0,0,0,0
5603,2015,7,1,0,0,0,0,0,0.18,0,0,0,0
5589,2015,7,10,4,12,42,-9.303,158.396,0.01,0,0,0,0
5588,2015,7,18,2,27,33,-10.444,165.172,0.09,0,0,0,0
5591,2015,7,27,4,49,46, ALEUTIAN ISLANDS, AK,-169.446,0,0,0,0
5590,2015,9,16,22,54,32,-31.573,-71.674,13.6,0,8,0,0
5596,2015,10,18,5,19,0, AK,60.08,87,0,0,0,0
5592,2015,11,11,1,54,37,-29.439,-72.105,0.55,0,0,0,0
5593,2015,11,13,20,51,30,30.991,128.877,0.3,0,0,0,0
5594,2015,11,17,7,10,8,38.755,20.552,0.15,0,0,0,0
5598,2016,3,2,12,49,48,-4.908,94.275,0.21,0,0,0,0
5599,2016,4,16,23,58,37,3.71,-79.94,0.14,0,0,0,0
5600,2016,4,28,19,33,24,-16.074,167.393,0.02,0,0,0,0
5604,2016,8,12,1,26,35,-22.495,173.111,0.19,0,0,0,0
5605,2016,8,19,7,32,22,-55.279,-31.874,0.1,0,0,0,0
5606,2016,9,1,16,37,57,-37.401,179.055,0.21,0,0,0,0
5613,2016,11,13,11,2,56,-42.757,173.077,4.1,0,0,0,0
5618,2016,11,21,20,59,49,37.392,141.403,0,0,0,0,0
5620,2016,11,24,18,43,48,11.96,-88.835,0,0,0,0,0
5630,2016,12,8,17,38,46,-10.665,161.335,0,0,0,0,0
5632,2016,12,9,19,10,7,-10.73,161.107,0,0,0,0,0
5636,2016,12,17,10,51,12,-4.509,153.45,0,0,0,0,0
5637,2016,12,25,14,22,27,-43.416,-73.88,0,0,0,0,0
